Body,0.1,0.8,0.8,0,0
Body,0.09,0.88,0.88,0,0
Body,0.08,0.888,0.888,0,0
Body,0.07,0.888,0.888,0,0
Body,0.06,0.888,0.888,0,0
Body,0.05,0.8888,0.8888,0,0
Body,0.04,0.8888,0.8888,0,0
Body,0.03,0.8888,0.8888,0,0
Body,0.02,0.8888,0.8888,0,0
Body,0.01,0.88888,0.88888,0,0
Body,0.009,0.8888888,0.8888888,0,0
Body,0.008,0.9,0.9,0,0
Body,0.007,0.99,0.99,0,0
Body,0.006,0.999,0.999,0,0
Body,0.005,0.9999,0.9999,0,0
Body,0.004,0.9999,0.9999,0,0
Body,0.003,0.9999,0.9999,0,0
Body,0.002,0.9999,0.9999,0,0
Body,0.001,0.999999,0.999999,0,0
Body,0.0009,0.999999,0.999999,0,0
Body,0.0008,0.9999999,0.9999999,0,0
Body,0.0007,0.9999999,0.9999999,0,0
Body,0.0006,0.9999999,0.9999999,0,0
